filename,label
./fruits/Kiwi/Total Number of Kiwi fruit/Kiwi001889.png,Kiwi
./fruits/Banana/Banana01623.png,Banana
./fruits/Mango/Mango003174.png,Mango
./fruits/muskmelon/Muskmelon 001450.png,muskmelon
./fruits/muskmelon/Muskmelon 001517.png,muskmelon
./fruits/Pear/Pear 1193.png,Pear
./fruits/Apple/Apple B/61red applee0021161.png,Apple
./fruits/Kiwi/Total Number of Kiwi fruit/Kiwi002426.png,Kiwi
./fruits/Pitaya/Pitaya002.png,Pitaya
./fruits/Banana/Banana0507.png,Banana
./fruits/Persimmon/Persimmon1708.png,Persimmon
./fruits/Pitaya/Pitaya00295.png,Pitaya
./fruits/Guava/guava total final/Guava03247.png,Guava
./fruits/Tomatoes/Tamotoes002003.png,Tomatoes
./fruits/Tomatoes/Tamotoes001985.png,Tomatoes
./fruits/Kiwi/Total Number of Kiwi fruit/Kiwi001780.png,Kiwi
./fruits/Guava/guava total final/Guava0341.png,Guava
./fruits/Apple/Apple C/pple Co applee04451.png,Apple
./fruits/Pomegranate/Pomegranet00256.png,Pomegranate
./fruits/Pitaya/Pitaya001566.png,Pitaya
./fruits/muskmelon/Muskmelon 001224.png,muskmelon
./fruits/Apple/Apple B/271red applee03856271.png,Apple
./fruits/Plum/PlumуАВ1375.png,Plum
./fruits/Peach/Peach001827.png,Peach
./fruits/muskmelon/Muskmelon 002033.png,muskmelon
./fruits/Mango/Mango00565.png,Mango
./fruits/Orange/Orange00846.png,Orange
./fruits/Kiwi/Total Number of Kiwi fruit/Kiwi002101.png,Kiwi
./fruits/Kiwi/Total Number of Kiwi fruit/Kiwi003593.png,Kiwi
./fruits/Orange/Orange00619.png,Orange
./fruits/Apple/Apple F/Apple F _0_6084.png,Apple
./fruits/Orange/Orange001516.png,Orange
./fruits/Guava/guava total final/Guava01723.png,Guava
./fruits/Kiwi/Total Number of Kiwi fruit/Kiwi003896.png,Kiwi
./fruits/Guava/guava total final/Guava0282.png,Guava
./fruits/Persimmon/Persimmon217.png,Persimmon
./fruits/Pomegranate/Pomegranet00371.png,Pomegranate
./fruits/Mango/Mango00901.png,Mango
./fruits/Persimmon/Persimmon1060.png,Persimmon
./fruits/Peach/Peach00522.png,Peach
./fruits/Pear/Pear 310.png,Pear
./fruits/Mango/Mango002746.png,Mango
./fruits/Banana/Banana0973.png,Banana
./fruits/Mango/Mango002670.png,Mango
./fruits/Orange/Orange00655.png,Orange
./fruits/Peach/Peach001990.png,Peach
./fruits/muskmelon/Muskmelon 002056.png,muskmelon
./fruits/Tomatoes/Tamotoes0082.png,Tomatoes
./fruits/Apple/Apple C/Apple Ce03181.png,Apple
./fruits/muskmelon/Muskmelon 001436.png,muskmelon
./fruits/Pitaya/Pitaya001365.png,Pitaya
./fruits/Persimmon/Persimmon1026.png,Persimmon
./fruits/Plum/PlumуАВ149.png,Plum
./fruits/Pear/pear_0_5001.png,Pear
./fruits/Peach/Peach002559.png,Peach
./fruits/Banana/Banana019.png,Banana
./fruits/Banana/Banana02590.png,Banana
./fruits/Peach/Peach001784.png,Peach
./fruits/Plum/PlumуАВ1429.png,Plum
./fruits/Guava/guava total final/Guava02717.png,Guava
./fruits/Apple/Apple E/Apple E125.png,Apple
./fruits/muskmelon/Muskmelon 001946.png,muskmelon
./fruits/Pitaya/Pitaya001497.png,Pitaya
./fruits/Carambola/Carambola 001924.png,Carambola
./fruits/Carambola/Carambola 001301.png,Carambola
./fruits/Kiwi/Total Number of Kiwi fruit/Kiwi002988.png,Kiwi
./fruits/Apple/Apple D/Apple dee06841.png,Apple
./fruits/Orange/Orange0094.png,Orange
./fruits/Pitaya/Pitaya00800.png,Pitaya
./fruits/Apple/Apple F/Apple F _0_5642.png,Apple
./fruits/muskmelon/Muskmelon 00938.png,muskmelon
./fruits/Mango/Mango00174.png,Mango
./fruits/Mango/Mango00485.png,Mango
./fruits/Orange/Orange001544.png,Orange
./fruits/Tomatoes/Tamotoes00566.png,Tomatoes
./fruits/Mango/Mango003984.png,Mango
./fruits/Tomatoes/Tamotoes002110.png,Tomatoes
./fruits/Pitaya/Pitaya00702.png,Pitaya
./fruits/Banana/Banana0312.png,Banana
./fruits/Guava/guava total final/Guava03150.png,Guava
./fruits/Plum/PlumуАВ263.png,Plum
./fruits/Orange/Orange00560.png,Orange
./fruits/Orange/Orange002620.png,Orange
./fruits/Apple/Apple C/scene02701.png,Apple
./fruits/Kiwi/Total Number of Kiwi fruit/Kiwi00977.png,Kiwi
./fruits/Orange/Orange002572.png,Orange
./fruits/Guava/guava total final/Guava01997.png,Guava
./fruits/Carambola/Carambola 001376.png,Carambola
./fruits/Apple/Apple D/applee14305.png,Apple
./fruits/Pitaya/Pitaya00165.png,Pitaya
./fruits/Pitaya/Pitaya001811.png,Pitaya
./fruits/Peach/Peach001169.png,Peach
./fruits/Pomegranate/Pomegranet002062.png,Pomegranate
./fruits/Pear/Pear 2177.png,Pear
./fruits/Guava/guava total final/Guava03300.png,Guava
./fruits/Plum/PlumуАВ300.png,Plum
./fruits/Guava/guava total final/Guava02147.png,Guava
./fruits/Apple/Apple C/scene01741.png,Apple
./fruits/Pear/Pear 308.png,Pear
./fruits/Pear/pear_0_8491.png,Pear
./fruits/Peach/Peach002619.png,Peach
./fruits/Pear/pear_0_9631.png,Pear
./fruits/Tomatoes/Tamotoes00575.png,Tomatoes
./fruits/Pitaya/Pitaya0056.png,Pitaya
./fruits/Plum/PlumуАВ1765.png,Plum
./fruits/Pear/Pear 328.png,Pear
./fruits/Pear/pear_0_962.png,Pear
./fruits/Banana/Banana02982.png,Banana
./fruits/Pomegranate/Pomegranet00135.png,Pomegranate
./fruits/Pear/Pear 1378.png,Pear
./fruits/Pitaya/Pitaya001930.png,Pitaya
./fruits/Orange/Orange00714.png,Orange
./fruits/Carambola/Carambola 00306.png,Carambola
./fruits/Pitaya/Pitaya001714.png,Pitaya
./fruits/Carambola/Carambola 00906.png,Carambola
./fruits/Kiwi/Total Number of Kiwi fruit/Kiwi002457.png,Kiwi
./fruits/Mango/Mango003463.png,Mango
./fruits/Pomegranate/Pomegranet001180.png,Pomegranate
./fruits/Banana/Banana0165.png,Banana
./fruits/Apple/Apple C/pple Co applee03251.png,Apple
./fruits/muskmelon/Muskmelon 001360.png,muskmelon
./fruits/Apple/Apple F/Apple F _0_7330.png,Apple
./fruits/Persimmon/Persimmon960.png,Persimmon
./fruits/Persimmon/Persimmon2049.png,Persimmon
